,Family,LigandType,Value,Category
429,Class A orphans,orphan,19.0,Identify
430,Class A orphans,orphan,31.0,Similarity
431,Class A orphans,orphan,19.0,Identify
432,Class A orphans,orphan,31.0,Similarity
433,Class A orphans,orphan,16.0,Identify
434,Class A orphans,orphan,31.0,Similarity
435,Class A orphans,orphan,14.0,Identify
436,Class A orphans,orphan,31.0,Similarity
437,Class A orphans,orphan,13.0,Identify
438,Class A orphans,orphan,31.0,Similarity
439,Class A orphans,orphan,12.0,Identify
440,Class A orphans,orphan,31.0,Similarity
441,Class A orphans,orphan,11.0,Identify
442,Class A orphans,orphan,30.0,Similarity
443,Class A orphans,orphan,17.0,Identify
444,Class A orphans,orphan,30.0,Similarity
445,Class A orphans,orphan,17.0,Identify
446,Class A orphans,orphan,30.0,Similarity
447,Class A orphans,orphan,16.0,Identify
448,Class A orphans,orphan,30.0,Similarity
449,Class A orphans,orphan,14.0,Identify
450,Class A orphans,orphan,30.0,Similarity
451,Class A orphans,orphan,13.0,Identify
452,Class A orphans,orphan,29.0,Similarity
453,Class A orphans,orphan,17.0,Identify
454,Class A orphans,orphan,28.0,Similarity
455,Class A orphans,orphan,16.0,Identify
456,Class A orphans,orphan,28.0,Similarity
457,Class A orphans,orphan,15.0,Identify
458,Class A orphans,orphan,27.0,Similarity
459,Class A orphans,orphan,16.0,Identify
460,Class A orphans,orphan,27.0,Similarity
461,Class A orphans,orphan,16.0,Identify
462,Class A orphans,orphan,26.0,Similarity
463,Class A orphans,orphan,14.0,Identify
464,Class A orphans,orphan,26.0,Similarity
465,Class A orphans,orphan,13.0,Identify
466,Class A orphans,orphan,25.0,Similarity
467,Class A orphans,orphan,14.0,Identify
468,Class A orphans,orphan,24.0,Similarity
469,Class A orphans,orphan,13.0,Identify
470,Class A orphans,orphan,22.0,Similarity
471,Class A orphans,orphan,11.0,Identify
472,Class A orphans,orphan,20.0,Similarity
473,Class A orphans,orphan,9.0,Identify
474,Class A orphans,orphan,58.0,Similarity
475,Class A orphans,orphan,42.0,Identify
476,Class A orphans,orphan,57.0,Similarity
477,Class A orphans,orphan,44.0,Identify
478,Class A orphans,orphan,37.0,Similarity
479,Class A orphans,orphan,17.0,Identify
480,Class A orphans,orphan,35.0,Similarity
481,Class A orphans,orphan,16.0,Identify
482,Class A orphans,orphan,35.0,Similarity
483,Class A orphans,orphan,15.0,Identify
484,Class A orphans,orphan,33.0,Similarity
485,Class A orphans,orphan,17.0,Identify
486,Class A orphans,orphan,33.0,Similarity
487,Class A orphans,orphan,16.0,Identify
488,Class A orphans,orphan,33.0,Similarity
489,Class A orphans,orphan,16.0,Identify
490,Class A orphans,orphan,33.0,Similarity
491,Class A orphans,orphan,15.0,Identify
492,Class A orphans,orphan,32.0,Similarity
493,Class A orphans,orphan,17.0,Identify
494,Class A orphans,orphan,32.0,Similarity
495,Class A orphans,orphan,16.0,Identify
496,Class A orphans,orphan,32.0,Similarity
497,Class A orphans,orphan,16.0,Identify
498,Class A orphans,orphan,32.0,Similarity
499,Class A orphans,orphan,15.0,Identify
500,Class A orphans,orphan,32.0,Similarity
501,Class A orphans,orphan,15.0,Identify
502,Class A orphans,orphan,32.0,Similarity
503,Class A orphans,orphan,14.0,Identify
504,Class A orphans,orphan,32.0,Similarity
505,Class A orphans,orphan,14.0,Identify
506,Class A orphans,orphan,32.0,Similarity
507,Class A orphans,orphan,11.0,Identify
508,Class A orphans,orphan,31.0,Similarity
509,Class A orphans,orphan,18.0,Identify
510,Class A orphans,orphan,31.0,Similarity
511,Class A orphans,orphan,17.0,Identify
512,Class A orphans,orphan,31.0,Similarity
513,Class A orphans,orphan,16.0,Identify
514,Class A orphans,orphan,31.0,Similarity
515,Class A orphans,orphan,14.0,Identify
516,Class A orphans,orphan,31.0,Similarity
517,Class A orphans,orphan,13.0,Identify
518,Class A orphans,orphan,30.0,Similarity
519,Class A orphans,orphan,16.0,Identify
520,Class A orphans,orphan,30.0,Similarity
521,Class A orphans,orphan,15.0,Identify
522,Class A orphans,orphan,30.0,Similarity
523,Class A orphans,orphan,14.0,Identify
524,Class A orphans,orphan,30.0,Similarity
525,Class A orphans,orphan,14.0,Identify
526,Class A orphans,orphan,30.0,Similarity
527,Class A orphans,orphan,11.0,Identify
528,Class A orphans,orphan,30.0,Similarity
529,Class A orphans,orphan,10.0,Identify
530,Class A orphans,orphan,29.0,Similarity
531,Class A orphans,orphan,16.0,Identify
532,Class A orphans,orphan,29.0,Similarity
533,Class A orphans,orphan,15.0,Identify
534,Class A orphans,orphan,29.0,Similarity
535,Class A orphans,orphan,13.0,Identify
536,Class A orphans,orphan,29.0,Similarity
537,Class A orphans,orphan,13.0,Identify
538,Class A orphans,orphan,29.0,Similarity
539,Class A orphans,orphan,13.0,Identify
540,Class A orphans,orphan,29.0,Similarity
541,Class A orphans,orphan,12.0,Identify
542,Class A orphans,orphan,28.0,Similarity
543,Class A orphans,orphan,14.0,Identify
544,Class A orphans,orphan,28.0,Similarity
545,Class A orphans,orphan,13.0,Identify
546,Class A orphans,orphan,28.0,Similarity
547,Class A orphans,orphan,13.0,Identify
548,Class A orphans,orphan,28.0,Similarity
549,Class A orphans,orphan,12.0,Identify
550,Class A orphans,orphan,28.0,Similarity
551,Class A orphans,orphan,12.0,Identify
552,Class A orphans,orphan,28.0,Similarity
553,Class A orphans,orphan,11.0,Identify
554,Class A orphans,orphan,28.0,Similarity
555,Class A orphans,orphan,11.0,Identify
556,Class A orphans,orphan,28.0,Similarity
557,Class A orphans,orphan,11.0,Identify
558,Class A orphans,orphan,27.0,Similarity
559,Class A orphans,orphan,15.0,Identify
560,Class A orphans,orphan,27.0,Similarity
561,Class A orphans,orphan,14.0,Identify
562,Class A orphans,orphan,27.0,Similarity
563,Class A orphans,orphan,14.0,Identify
564,Class A orphans,orphan,27.0,Similarity
565,Class A orphans,orphan,14.0,Identify
566,Class A orphans,orphan,27.0,Similarity
567,Class A orphans,orphan,13.0,Identify
568,Class A orphans,orphan,27.0,Similarity
569,Class A orphans,orphan,13.0,Identify
570,Class A orphans,orphan,27.0,Similarity
571,Class A orphans,orphan,13.0,Identify
572,Class A orphans,orphan,27.0,Similarity
573,Class A orphans,orphan,13.0,Identify
574,Class A orphans,orphan,27.0,Similarity
575,Class A orphans,orphan,12.0,Identify
576,Class A orphans,orphan,27.0,Similarity
577,Class A orphans,orphan,11.0,Identify
578,Class A orphans,orphan,27.0,Similarity
579,Class A orphans,orphan,11.0,Identify
580,Class A orphans,orphan,27.0,Similarity
581,Class A orphans,orphan,8.0,Identify
582,Class A orphans,orphan,26.0,Similarity
583,Class A orphans,orphan,14.0,Identify
584,Class A orphans,orphan,26.0,Similarity
585,Class A orphans,orphan,14.0,Identify
586,Class A orphans,orphan,26.0,Similarity
587,Class A orphans,orphan,12.0,Identify
588,Class A orphans,orphan,26.0,Similarity
589,Class A orphans,orphan,12.0,Identify
590,Class A orphans,orphan,26.0,Similarity
591,Class A orphans,orphan,12.0,Identify
592,Class A orphans,orphan,26.0,Similarity
593,Class A orphans,orphan,11.0,Identify
594,Class A orphans,orphan,26.0,Similarity
595,Class A orphans,orphan,10.0,Identify
596,Class A orphans,orphan,25.0,Similarity
597,Class A orphans,orphan,12.0,Identify
598,Class A orphans,orphan,25.0,Similarity
599,Class A orphans,orphan,12.0,Identify
600,Class A orphans,orphan,25.0,Similarity
601,Class A orphans,orphan,11.0,Identify
602,Class A orphans,orphan,25.0,Similarity
603,Class A orphans,orphan,10.0,Identify
604,Class A orphans,orphan,24.0,Similarity
605,Class A orphans,orphan,11.0,Identify
606,Class A orphans,orphan,24.0,Similarity
607,Class A orphans,orphan,11.0,Identify
608,Class A orphans,orphan,24.0,Similarity
609,Class A orphans,orphan,10.0,Identify
610,Class A orphans,orphan,24.0,Similarity
611,Class A orphans,orphan,9.0,Identify
612,Class A orphans,orphan,24.0,Similarity
613,Class A orphans,orphan,9.0,Identify
614,Class A orphans,orphan,23.0,Similarity
615,Class A orphans,orphan,12.0,Identify
616,Class A orphans,orphan,23.0,Similarity
617,Class A orphans,orphan,11.0,Identify
618,Class A orphans,orphan,23.0,Similarity
619,Class A orphans,orphan,9.0,Identify
620,Class A orphans,orphan,22.0,Similarity
621,Class A orphans,orphan,12.0,Identify
622,Class A orphans,orphan,19.0,Similarity
623,Class A orphans,orphan,9.0,Identify
624,Class A orphans,orphan,18.0,Similarity
625,Class A orphans,orphan,7.0,Identify
626,Class A orphans,orphan,16.0,Similarity
627,Class A orphans,orphan,6.0,Identify
628,Class A orphans,orphan,47.0,Similarity
629,Class A orphans,orphan,38.0,Identify
630,Class A orphans,orphan,32.0,Similarity
631,Class A orphans,orphan,12.0,Identify
